movie_id,director_id
39520,369
25980,142
46192,347
139593,370
171255,286
186001,64
7042,70
16567,125
66817,173
7753,50
524,305
524,308
524,167
524,302
524,137
18173,59
3831,478
3963,70
5648,355
4470,70
27984,112
2686,70
144016,324
46361,341
12730,445
41896,218
10559,57
23395,8
33186,386
23112,272
5580,21
23023,272
16584,222
1963,445
4991,142
18172,59
27908,320
19755,496
185595,320
25986,112
86000,149
7498,478
12135,58
2767,21
10359,464
7119,50
14549,133
4992,142
5082,59
28850,115
3232,70
17065,445
19839,155
14603,496
7025,318
4480,70
2233,21
2973,405
10948,314
1792,427
16903,150
26035,14
51,50
6476,445
27808,8
2321,50
27838,272
23260,8
2676,133
27913,272
10423,474
75014,250
59864,253
18380,375
27927,424
25994,112
59538,89
40390,367
33173,32
27929,424
12849,382
77342,20
12091,225
6186,335
6186,121
127956,223
14963,377
28817,394
48703,131
7141,254
8395,331
7866,364
4741,133
80276,374
39616,234
24235,28
6984,133
6984,401
8585,355
36068,233
135484,370
46571,221
32535,199
9205,326
50994,132
2577,257
10450,241
6025,299
2957,238
6040,408
8629,498
8629,432
25957,358
22041,153
27875,398
868,445
1152,430
56304,172
24646,142
3378,112
5055,439
4451,275
60353,112
4005,155
15926,50
27797,272
8911,278
24957,67
20896,196
3025,408
9277,445
10241,411
7802,144
10526,330
27966,355
25055,186
6863,59
28111,155
27970,29
14548,70
2194,134
11008,103
9260,326
25993,112
26125,427
9141,240
13556,410
4869,238
28163,329
28163,127
439,26
37687,393
27983,112
23088,302
10623,393
18020,207
8773,275
13196,142
75394,424
67415,198
1255,443
1255,158
1009,393
39110,100
21367,184
6595,26
2634,196
31777,350
4508,72
9899,54
5635,364
12680,10
56838,198
43938,187
1133,430
27798,271
45196,359
140909,452
9457,299
45763,499
6002,185
27973,29
23662,487
7138,97
210973,94
3611,98
5273,398
4977,134
8219,478
24461,154
9280,318
128589,149
23209,464
27911,230
3715,427
62466,435
23445,41
25984,112
43114,136
64184,24
55885,494
45526,426
2949,155
25983,112
12363,226
25988,112
3627,106
1367,332
2240,155
2956,387
12254,196
3376,112
12009,302
165577,135
6849,134
31679,332
3621,21
10882,314
41656,53
25373,385
32472,287
27884,457
17455,386
1574,70
7799,103
33977,102
4551,417
24065,58
25687,258
1471,396
70217,252
2001,278
2316,445
49923,220
6704,475
10659,335
10659,121
17763,160
12773,196
12123,496
14975,41
7788,302
15670,482
37901,468
845,262
3375,112
5714,474
1022,242
78480,341
23037,388
25989,112
78846,270
8547,343
15917,119
6163,335
6163,121
25987,112
7417,21
38709,267
27890,221
42863,133
4778,134
42016,455
3383,112
7522,238
7522,238
5887,125
934,299
68962,263
5949,195
39595,191
3374,112
54329,69
22888,302
117296,157
6351,238
49127,197
28139,254
44431,267
25995,112
4700,278
14011,373
23412,8
11317,184
5826,8
37915,192
71549,319
3381,112
10077,492
6786,26
17421,15
23241,303
52052,320
7100,63
2667,302
7104,240
493,40
10541,427
154919,496
23390,56
21150,335
21150,121
3868,96
19360,97
2177,379
25327,477
3754,351
16351,43
3223,155
61260,413
4975,355
3900,326
4746,21
5872,195
14662,326
7269,146
27900,489
24700,496
10809,57
32390,47
22911,327
22911,485
24445,8
63760,264
2007,278
30302,98
27879,302
55774,187
27840,272
9959,318
7813,134
22905,52
185597,320
48916,387
1739,13
22892,125
6181,195
6181,392
9546,71
1705,109
160375,312
27922,326
25985,112
31622,30
25991,112
24564,175
42811,268
7173,76
41938,320
46705,501
48985,483
49461,337
50457,278
22982,484
22301,97
22985,456
38798,421
201609,294
675,50
192216,292
64142,372
23985,428
33207,407
23106,424
33171,261
13904,130
28363,223
1041,40
13999,1
26216,210
12855,314
3382,112
63245,354
17711,160
41627,218
653,44
7854,128
46448,283
10550,50
46783,272
13199,334
21380,291
4825,335
15484,5
52762,422
15910,487
3290,207
5584,309
31453,479
149022,262
24906,194
34856,101
15905,459
31031,276
16125,454
58654,79
8866,128
42417,277
42417,490
8930,161
14727,487
1336,474
27612,4
9816,410
2006,278
8191,404
8052,128
36545,383
31510,78
10759,355
54721,139
54282,42
1843,142
33009,31
69769,34
69769,282
3262,195
69515,322
168687,60
325,134
27878,302
6448,238
4868,487
39429,82
27800,8
11921,396
9338,82
242,393
151267,384
25674,393
9893,260
150,302
13333,63
19810,315
74080,399
74080,346
7936,492
34300,450
15669,482
45564,191
7876,118
27910,258
147566,448
44359,418
44359,152
6857,155
27326,142
216881,416
89,144
51409,341
19143,398
27874,398
13104,184
32894,189
10843,99
10123,420
3938,445
5833,445
39239,283
3505,39
27468,123
67041,498
67041,432
27816,437
8967,128
2488,150
25346,385
781,212
23017,411
9114,49
16960,235
25289,424
1278,473
19197,336
5265,40
59057,428
59057,105
14650,257
25309,117
43941,58
20554,491
19236,454
35318,117
92,376
25990,112
70911,116
38033,217
28032,128
3380,112
17052,212
23130,342
10366,353
17038,311
34950,218
11646,236
9336,326
9066,111
6162,404
27593,395
63805,373
14689,128
32320,395
23089,8
14797,196
11630,449
14799,196
5862,318
42521,204
23076,8
10087,408
2935,276
12853,314
6963,195
40401,191
6348,299
7995,299
21350,91
145417,271
12555,230
6737,118
2100,159
198837,171
26150,104
5575,10
2005,278
43601,386
26479,339
31557,323
14414,368
27963,254
18177,458
4676,21
1151,430
22441,486
18052,424
24533,355
22452,249
6674,403
6697,109
7803,49
22618,379
27811,349
14151,1
25706,472
16190,427
17617,371
4573,3
2314,155
1119,402
7309,451
2645,302
5641,293
20953,196
5399,96
3317,287
6428,57
39138,6
24313,496
4108,128
32545,122
10610,379
22223,398
296,21
27930,82
27946,403
4114,334
3303,314
3303,446
12337,254
15344,57
15344,107
27801,61
1870,420
8812,398
21195,296
75306,438
75306,21
2326,1
67251,3
11242,301
2872,328
10891,397
24590,82
10604,380
4750,419
11166,168
11270,93
25278,389
2959,485
86054,3
27909,320
10599,259
11168,237
46666,152
46666,418
38120,152
38120,418
66651,55
42207,62
68878,341
15818,345
7829,486
45346,310
42569,304
27936,225
12428,164
33004,85
15566,307
8443,224
8159,159
7719,356
15923,97
3731,181
12736,332
2946,318
1068,486
32765,138
27886,208
12309,274
15887,159
178441,400
3497,103
74514,177
46204,193
182522,176
2915,106
1926,492
42570,273
46285,77
7981,225
198268,482
129219,17
38271,370
86793,386
162791,190
62164,80
27775,231
141299,88
32549,412
43271,441
198148,482
13293,318
2575,214
15081,434
39238,283
20485,376
28503,27
28503,11
7143,240
43179,156
30541,183
33634,166
43817,247
33620,493
28290,453
26152,8
41286,218
198967,482
198955,482
37004,424
76362,48
17510,245
55816,266
1889,451
49767,357
49767,228
28531,240
29853,179
20820,150
5632,473
2554,486
39319,216
2313,155
60321,178
52623,25
36780,70
6535,251
21137,106
461,254
204266,423
3610,54
31621,30
9774,388
29414,7
72005,283
22161,235
1635,195
27799,257
6764,38
6773,449
32530,342
4113,492
3133,467
3134,351
27826,8
5468,255
299,74
6355,180
54331,61
13722,202
39213,283
49788,338
47436,219
48553,75
48553,378
3379,112
34985,469
9065,155
83542,90
118,36
23132,276
41843,218
5866,21
19745,467
140191,149
14663,52
14657,50
25960,456
25960,390
57575,16
5968,406
49,439
65050,470
57098,35
23277,225
193277,200
57416,92
28049,195
57243,22
23280,174
16942,126
23291,118
15286,288
23307,261
14064,236
23086,225
52298,108
28121,440
5274,371
38133,18
3373,112
27156,385
26064,211
43942,482
10362,355
23048,174
157227,502
28162,290
4581,335
4581,121
6119,141
774,50
13424,398
25320,385
21007,196
31480,33
6439,49
8257,296
176391,415
2707,379
20363,297
20363,229
14337,391
55780,188
32802,497
13384,235
44658,429
14923,436
3834,387
44656,429
11522,203
6138,256
26600,313
27887,208
128373,505
128373,366
9023,314
25034,496
8069,207
16012,398
57522,182
2427,449
6180,165
43203,441
30528,428
20173,454
38578,209
24885,496
43243,306
6094,50
6239,128
11778,126
39496,382
3994,397
43167,218
12698,343
5717,227
39503,265
39503,120
10764,339
69215,424
19027,104
20836,397
14561,57
20870,269
20144,143
12742,145
27883,184
3265,420
19591,170
10680,170
141139,66
10686,302
2101,348
9668,46
23116,201
27839,272
22974,323
25992,112
4586,161
28232,68
46083,45
81476,352
22795,381
22742,194
27981,155
15366,124
1086,96
2774,227
17570,420
45934,474
12312,254
1463,70
43758,466
41196,217
17699,340
7074,213
5226,148
9502,236
70397,373
15309,500
23284,410
3553,26
8577,382
7553,29
7642,376
23257,355
7519,21
10514,439
28054,125
11252,486
8562,230
42594,280
46352,341
4338,344
33191,360
2119,65
74386,431
5088,417
14016,433
23624,68
70767,461
27834,8
2699,243
14346,385
3805,329
3805,127
2900,118
24280,442
4941,144
11445,430
36852,298
9191,225
37662,362
18088,196
1872,275
7038,351
36930,129
36930,235
42288,321
42288,285
11473,130
45557,341
11138,480
11492,269
31663,325
9406,334
12938,161
21514,97
16153,23
27828,8
10796,451
15408,495
15408,504
3320,162
36834,140
70139,370
14931,299
14684,151
25942,404
44144,279
27814,437
1903,161
71881,506
27817,437
2736,96
8871,147
