id,name
1,Abbas Nazeri
2,Abe Vigoda
3,Abed Abes
4,Abel Gance
5,Abhi Bhattacharya
6,Ada Choi
7,Adam Baldwin
8,Adam Ferency
9,Adam Hanuszkiewicz
10,Adam Nelson
11,Adam Williams
12,Addison Powell
13,Adelaide Klein
14,Adele Longmire
15,Adele Sandrock
16,Adelfa Calvo
17,Adnan Afravian
18,Adolf Hitler
19,Adolfo Celi
20,Adolphe Menjou
21,Adriana Asti
22,Adriana Sivieri
23,Adrianna Biedrzynska
24,Adrien Borel
25,Adrien Brody
26,Adrien Michaux
27,Adrienne Barrett
28,Adrienne Corri
29,Adrienne Servantie
30,Adám Matejka
31,Aeng-ran Eom
32,Agnes Moorehead
33,Agnieszka Brustman
34,Agnieszka Holland
35,Agnés Varda
36,Agustin Nieves
37,Agustín Irusta
38,Ahmed Ahmed Poor
39,Ahmed Higazi
40,Ahmed Mirai
41,Ahmet Ulucay
42,Ahn Nae-sang
43,Ahney Her
44,Ahu Kheradmand
45,Aiko Mimasu
46,Ait Ansari
47,Akaji Maro
48,Akemi Negishi
49,Akiko Kazami
50,Akiko Koyama
51,Akiko Ono
52,Akiko Yamashita
53,Akim Tamiroff
54,Akira Ishihama
55,Akira Kubo
56,Akira Nakamura
57,Akira Tani
58,Akira Terao
59,Akira Ôizumi
60,Al Checco
61,Al Ernest Garcia
62,Al Lettieri
63,Al Pacino
64,Alain Bécourt
65,Alain Cuny
66,Alain Delon
67,Alain Doutey
68,Alan Alda
69,Alan Curtis
70,Alan Dexter
71,Alan Dobie
72,Alan Gifford
73,Alan Hale
74,Alan Shearman
75,Albert Austin
76,Albert Bassermann
77,Albert Brooks
78,Albert Dekker
79,Albert Dieudonné
80,Albert Dupontel
81,Albert Finney
82,Albert Hall
83,Albert Rémy
84,Albert Steinrück
85,Alberto Lionello
86,Alberto Sordi
87,Aldo Fabrizi
88,Aldo Giuffré
89,Aldo Puglisi
90,Aldo Sambrell
91,Aldo Valletti
92,Alec Guinness
93,Alec McCowen
94,Alec Su
95,Alejandro Barbero
96,Aleksander Bardini
97,Aleksandr Abrikosov
98,Aleksandr Antonov
99,Aleksandr Cistjakov
100,Aleksandr Kajdanovskij
101,Aleksandr Mezentsev
102,Aleksandr Mgebrov
103,Aleksandr Semchev
104,Aleksandr Zlatopolskiy
105,Aleksandra Choclova
106,Aleksandra Slaska
107,Aleksej Ananishnov
108,Aleksej Kravchenko
109,Aleksej Petrenko
110,Alessandra Borgia
111,Alessandro Blasetti
112,Alessandro Haber
113,Alessandro Panzeri
114,Alex Gibney
115,Alexander D'Arcy
116,Alexander Knox
117,Alexander Lang
118,Alexander Sagabashi
119,Alexander Scourby
120,Alexandra Stewart
121,Alexis Loret
122,Alexis Smith
123,Alfie Bass
124,Alfie Wise
125,Alfonsino Pasca
126,Alfonso Mejia
127,Alfonso Rojas
128,Alfred Abel
129,Alfred Hsing
130,Alfred Molina
131,Alfred Paget
132,Alfréd Járai
133,Ali Bagheri
134,Ali Bakhshi Jozam
135,Ali Djamali
136,Alice Krige
137,Alice Pearce
138,Alicia Sánchez
139,Alida Valli
140,Aliki Georgouli
141,Alina Berzunteanu
142,Aline Küppenheim
143,Allan Edwall
144,Allan Garcia
145,Allan Jones
146,Allen Danzinger
147,Allen Garfield
148,Allison Adams
149,Allyn Ann McLerie
150,Allyn Joslyn
151,Alma Delia Fuentes
152,Almedin Leleta
153,Almila Bagriacik
154,Almir Podgorica
155,Alojz Kramar
156,Alok Chakravarty
157,Alphonse Ethier
158,Alvaro Vitali
159,Alwara Höfels
160,Alyosha Dyo
161,Amaia Lizarralde
162,Amanda Plummer
163,Amedeo Nazzari
164,Amedeo Trilli
165,Ami Diakhate
166,Amidou
167,Ammar Tafti
168,Amund Berge
169,Amvrosi Buchma
170,Amy Brenneman
171,Amédée
172,Ana Fernandes da Silva
173,Ana Gracia
174,Ana Moreira
175,Ana Reeder
176,Ana Sofia Domingues Cabeça
177,Ana Torrent
178,Ana Vasconcelos
179,Anastasija Vertiuskaja
180,Anatoli Ktorov
181,Anatolij Solonicyn
182,Anchana Ponpitakthepkij
183,Anders Ek
184,Andie MacDowell
185,Andrea Balestri
186,Andrea Checchi
187,Andrea Giordana
188,Andrea Massaccesi
189,Andrea Novicov
190,Andreas Conrad
191,Andrew Mackin
192,Andrew Prine
193,Andrew Rakowski
194,Andrews Engelmann
195,Andrey Konchalovskiy
196,Andrzej Blumenfeld
197,Andrzej Hiolski
198,Andrzej Mastalerz
199,Andrzej Seweryn
200,András Bálint
201,André Hennicke
202,André Morell
203,André Roanne
204,André S. Labarthe
205,André Sogliuzzo
206,Andréa Ferréol
207,Andréa Parisy
208,Andy Garcia
209,Andy Griffith
210,Andy Lau
211,Andy Summers
212,Andy Warhol
213,Anette Tirier
214,Angel Aquino
215,Angela Cardile
216,Angela Molina
217,Angeli Bayani
218,Angie Dickinson
219,Angie Ferro
220,Angèle Guys
221,Aniello Mele
222,Anil Chatterjee
223,Anita Carvalho
224,Anita Ekberg
225,Anita Sharp-Bolster
226,Anjelica Huston
227,Anke Sevenich
228,Ann Ayars
229,Ann Bridgewater
230,Ann Doran
231,Ann Dvorak
232,Ann Elisabeth Rud
233,Ann Gillis
234,Ann Harding
235,Ann Miller
236,Ann Rebbot
237,Ann Savage
238,Anna Aleksakhina
239,Anna Brass
240,Anna Chernova
241,Anna Ciepielewska
242,Anna De Carlo
243,Anna Gaël
244,Anna Geislerová
245,Anna Henkel
246,Anna Karina
247,Anna Lee
248,Anna Magnani
249,Anna Maria Gherardi
250,Anna Massey
251,Anna May Wong
252,Anna Mouglalis
253,Anna Nehrebecka
254,Anna Paquin
255,Anna Parzonka
256,Anna Pitasová
257,Anna Polony
258,Anna Romantowska
259,Anna Slyu
260,Anna Wetlinská
261,Anna Zemstova
262,Annabella
263,Anne Alvaro
264,Anne Bancroft
265,Anne Barton
266,Anne Baxter
267,Anne Byrne Hoffman
268,Anne Carlier
269,Anne Lambert
270,Anne Sargent
271,Anne Vernon
272,Anne Wiazemsky
273,Anne Yernaux
274,Anne-Kathrin Golinsky
275,Annibale Ninchi
276,Annie Girardot
277,Annu Mari
278,Anouk Aimée
279,Anouk Grinberg
280,Anthony Daniels
281,Anthony Franciosa
282,Anthony Heald
283,Anthony Higgins
284,Anthony Hopkins
285,Anthony Mackie
286,Anthony Perkins
287,Anthony Quayle
288,Anthony Quinn
289,Anthony Ruggiero
290,Anthony Wong Chau-Sang
291,Antoine Balpêtré
292,Antoine Chappey
293,Anton Walbrook
294,Antonella Costa
295,Antonia Bill
296,Antonia Guzmán
297,Antonia Truppo
298,Antonie Jaeckel
299,Antonin Artaud
300,Antonin Zacpal
301,Antonina Shuranova
302,Antonio Bachiller
303,Antonio Bolivar
304,Antonio Canal
305,Antonio Centa
306,Antonio Ferrari
307,Antonio Orlando
308,Antonio Piovanelli
309,Antonín Kumbera
310,Anzhelika Nevolina
311,April Kent
312,Arata
313,Arata Yamanaka
314,Arda Aranat
315,Aretha Franklin
316,Ari Boulogne
317,Ariane Ascaride
318,Arie Verveen
319,Arkaney Cherkam
320,Arletty
321,Armando Brancia
322,Arnold Korff
323,Arnold Lucy
324,Arnold Schwarzenegger
325,Arnoldo Foà
326,Art Smith
327,Artem Bystrov
328,Arthur Byron
329,Arthur Edmund Carewe
330,Arthur Hohl
331,Arthur Howard
332,Arthur Hoyt
333,Arthur Kennedy
334,Arthur Loft
335,Arthur O'Connell
336,Arthur O'Sullivan
337,Arthur Stone
338,Arthur Wontner
339,Artigas
340,Artur Barcis
341,Arturo Bragaglia
342,Arturo de Córdova
343,Aseefa Bhutto Zardari
344,Ashley Judd
345,Astrid Holm
346,Asuka Kurosawa
347,Atsuo Nakamura
