id,name
1,Algeria
2,Angola
3,Argentina
4,Australia
5,Austria
6,Azerbaijan
7,Belgium
8,Bosnia and Herzegovina
9,Brazil
10,Canada
11,Chile
12,China
13,Colombia
14,Croatia
15,Cuba
16,Czech Republic
17,Czechoslovakia
18,Denmark
19,East Germany
20,Egypt
21,Estonia
22,Finland
23,France
24,Germany
25,Gilbert and Ellice Islands
26,Great Britain
27,Greece
28,Hong Kong
29,Hungary
30,India
31,Iran
32,Ireland
33,Israel
34,Italy
35,Japan
36,Lithuania
37,Mexico
38,Netherlands
39,Norway
40,Philippines
41,Poland
42,Portugal
43,Romania
44,Russia
45,Senegal
46,Singapore
47,Slovakia
48,Slovenia
49,South Korea
50,Soviet Union
51,Spain
52,Sweden
53,Switzerland
54,Taiwan
55,Thailand
56,Turkey
57,United States
58,Venezuela
59,West Germany
