id,name
1,Abbas Kiarostami
2,Abel Ferrara
3,Abel Gance
4,Abram Room
5,Ademir Kenovic
6,Agnés Varda
7,Ahmet Ulucay
8,Akira Kurosawa
9,Alain Corneau
10,Alain Resnais
11,Alan Mak
12,Albert Serra
13,Aleksandr Askoldov
14,Aleksandr P. Dovzenko
15,Aleksandr Sokurov
16,Aleksey Balabanov
17,Alessandro Capone
18,Alex Gibney
19,Alex Winter
20,Alfred E. Green
21,Alfred Hitchcock
22,Alicia Scherson
23,Amir Naderi
24,Amit Dutta
25,Andreas Marschall
26,Andrei Tarkovsky
27,Andrew Lau
28,Andrzej Munk
29,Andrzej Wajda
30,Andrzej Zulawski
31,András Kovács
32,André De Toth
33,André Malraux
34,Andy Grieve
35,Anocha Suwichakornpong
36,Anthony Asquith
37,Anthony Mann
38,Arnold Laven
39,Arthur Joffé
40,Arthur Penn
41,Artur Aristakisjan
42,Asghar Farhadi
43,Bahram Beizai
44,Beau Bridges
45,Benedek Fliegauf
46,Bernardo Bertolucci
47,Bernhard Wicki
48,Bertrand Blier
49,Bertrand Tavernier
50,Billy Wilder
51,Blake Edwards
52,Boris Barnet
53,Brett Gaylor
54,Brian De Palma
55,Bruce LaBruce
56,Budd Boetticher
57,Buster Keaton
58,Béla Tarr
59,Carl Theodor Dreyer
60,Carlos Conceição
61,Carlos Saura
62,Carmelo Bene
63,Carol Reed
64,Catarina Vasconcelos
65,Cecil B. DeMille
66,Chang
67,Chang Cheh
68,Chang-dong Lee
69,Chantal Akerman
70,Charles Chaplin
71,Charles Crichton
72,Charles Laughton
73,Charles Reisner
74,Charles Vidor
75,Chris Marker
76,Christian Vincent
77,Ciro Guerra
78,Claire Denis
79,Claire Simon
80,Clara Kuperberg
81,Claude Pinoteau
82,Clint Eastwood
83,Clive Donner
84,Cornel Wilde
85,Costa-Gavras
86,Cristi Puiu
87,Dalton Trumbo
88,Dan Poole
89,Daniel Auteuil
90,Daniel Guzmán
91,Daniele Gaglianone
92,Danis Tanovic
93,David Cronenberg
94,David Easteal
95,David Gordon Green
96,David Lean
97,David Lynch
98,David W. Griffith
99,Delmer Daves
100,Derek Jarman
101,Detlev Buck
102,Diego Olivares
103,Dino Risi
104,Djibril Diop Mambety
105,Dodo Abashidze
106,Don Siegel
107,Donald Crisp
108,Doris Dörrie
109,Douglas Sirk
110,Duane Baughman
111,Edgar G. Ulmer
112,Edgar Reitz
113,Eduardo De Filippo
114,Edward Ludwig
115,Edward Yang
116,Elchin Musaoglu
117,Elem Klimov
118,Elia Kazan
119,Elio Petri
