movie_id,title,year,genre,duration,avg_vote,critics_vote,public_vote,total_votes
39520,Rembrandt's J'accuse,2008,Documentary,86,10.0,10.0,10.0,4
25980,The Godfather Trilogy: 1901-1980,1992,Drama,583,9.8,10.0,10.0,33
46192,Xiao cheng zhi chun,1948,Drama,93,9.6,10.0,9.0,13
139593,"La commune (Paris, 1871)",2000,Drama,345,9.6,10.0,9.0,5
171255,Geomeun meori,1964,Noir,108,9.5,9.0,10.0,3
186001,A Metamorfose dos Pássaros,2020,Documentary,100,9.5,9.0,10.0,3
7042,Modern Times,1936,Comedy,83,9.4,9.74,9.0,403
16567,Greed,1924,Drama,100,9.4,9.85,9.0,59
66817,Ashes and Snow,2005,Documentary,63,9.4,10.0,9.0,8
7753,Sunset Boulevard,1950,Drama,100,9.4,9.51,9.0,509
524,Antologia dada e surrealista,1923,Fantasy,100,9.4,9.33,9.0,12
18173,Ordet,1955,Drama,119,9.4,9.71,9.0,165
3831,Ladri di biciclette,1948,Drama,90,9.4,9.78,9.0,463
3963,City Lights,1931,Drama,87,9.4,9.46,9.0,299
5648,Citizen Kane,1941,Drama,119,9.3,9.46,9.0,533
4470,The Kid,1921,Comedy,51,9.3,9.44,9.0,300
27984,Die Zweite Heimat - Chronik einer Jugend,1992,Drama,1525,9.3,9.25,9.0,21
2686,The Gold Rush,1925,Comedy,60,9.3,9.38,9.0,259
144016,The Blue Bird,1918,Fantasy,75,9.3,9.0,10.0,6
46361,Onna ga kaidan wo agaru toki,1960,Drama,111,9.3,10.0,9.0,13
12730,Paths of Glory,1957,War,86,9.3,9.4,9.0,487
41896,Spiklenci slasti,1996,Animation,75,9.3,10.0,9.0,14
10559,Sherlock Junior,1924,Comedy,42,9.3,9.43,9.0,132
23395,Shichi-nin no Samurai,1954,Adventure,200,9.3,9.54,9.0,326
33186,Le trois couronnes du matelot,1983,Drama,117,9.3,10.0,9.0,12
23112,Ugetsu Monogatari,1953,Drama,97,9.3,9.63,9.0,148
5580,Psycho,1960,Thriller,108,9.2,9.36,9.0,733
23023,Chikamatsu Monogatari,1954,Drama,110,9.2,9.29,9.0,59
16584,La maman et la putain,1973,Comedy,208,9.2,9.67,9.0,41
1963,2001: A Space Odyssey,1968,Fantasy,141,9.2,9.33,9.0,858
4991,The Godfather,1972,Drama,178,9.2,9.22,9.0,755
18172,Vredens Dag,1943,Drama,94,9.2,9.68,9.0,148
27908,Seppuku,1962,Drama,135,9.2,9.5,9.0,90
19755,Tokyo monogatari,1953,Drama,136,9.2,9.36,9.0,174
185595,Ningen no jôken V-VI,1961,War,190,9.1,8.67,10.0,10
25986,Die Zweite Heimat - Chronik einer Jugend - Das Spiel mit der Freiheit,1992,Drama,105,9.1,9.0,9.0,10
86000,Holubice,1960,Drama,76,9.1,9.5,9.0,5
7498,Umberto D.,1951,Drama,90,9.1,9.42,9.0,314
12135,Sátántángo,1994,Drama,450,9.1,9.44,9.0,85
2767,Rear Window,1954,Thriller,112,9.1,9.11,9.0,645
10359,Freaks,1932,Horror,64,9.1,9.24,9.0,317
7119,Witness for the Prosecution,1957,Thriller,114,9.1,9.11,9.0,283
14549,Sunrise: A Song of Two Humans,1927,Drama,97,9.1,9.43,9.0,144
4992,The Godfather Part II,1974,Drama,185,9.1,9.32,9.0,561
